Dataset,,,,,,,,,,,,,
k,10,20,50,70,100,150,200,300,400,500,600,700,800
A,68.2275,75.6317,82.3806,80.4641,79.022,75.1015,75.5789,77.3761,76.6041,74.2844,75.0164,75.4364,70.8764
B,70.4387,78.2678,80.0329,82.1544,80.2996,79.313,81.149,80.9641,81.1544,78.6506,78.2449,79.6506,78.7908
C,85.5964,86.0766,89.8267,90.5037,88.8966,90.2454,88.7015,87.887,79.0751,72.8122,77.1934,75.2641,74.2496
